is_dropout_outcome,source_id,status_code,status_observed_at,student_ref
false,v59-empty-program-students,dang_hoc,,s-00518c9485a9
false,v59-empty-program-students,dang_hoc,,s-0061728bd51d
false,v59-empty-program-students,dang_hoc,,s-0065c1d21bfd
false,v59-empty-program-students,dang_hoc,,s-0075b2e0d490
false,v59-empty-program-students,dang_hoc,,s-00c4a43cf58d
true,v59-empty-program-students,buoc_thoi_hoc,,s-019524f8f480
false,v59-empty-program-students,dang_hoc,,s-0198c1be33d6
false,v59-empty-program-students,dang_hoc,,s-02592401a1df
false,v59-empty-program-students,dang_hoc,,s-025953cdfa78
false,v59-empty-program-students,dang_hoc,,s-0309240c3098
false,v59-empty-program-students,dang_hoc,,s-03fa735bbdad
false,v59-empty-program-students,dang_hoc,,s-04b93ad2aa93
false,v59-empty-program-students,dang_hoc,,s-04eed4d8a224
false,v59-empty-program-students,dang_hoc,,s-05069e7b7252
false,v59-empty-program-students,dang_hoc,,s-0520a6eb5e4b
false,v59-empty-program-students,dang_hoc,,s-055724dde246
false,v59-empty-program-students,dang_hoc,,s-0611a37ee730
false,v59-empty-program-students,dang_hoc,,s-06c30f3d81a1
false,v59-empty-program-students,dang_hoc,,s-0829e3d5a77a
false,v59-empty-program-students,dang_hoc,,s-083d167caf9d
false,v59-empty-program-students,dang_hoc,,s-089c5e238092
false,v59-empty-program-students,dang_hoc,,s-08a36ecf6c76
false,v59-empty-program-students,dang_hoc,,s-09121a7d1e6b
false,v59-empty-program-students,dang_hoc,,s-091d6b414e55
false,v59-empty-program-students,dang_hoc,,s-09373e6fbb2c
false,v59-empty-program-students,dang_hoc,,s-09b734dfdf59
false,v59-empty-program-students,dang_hoc,,s-0a16f66e4971
false,v59-empty-program-students,dang_hoc,,s-0a2474909ee6
false,v59-empty-program-students,dang_hoc,,s-0a2e8c18532a
false,v59-empty-program-students,dang_hoc,,s-0a50bede9d8d
false,v59-empty-program-students,dang_hoc,,s-0ab3418e3509
false,v59-empty-program-students,dang_hoc,,s-0b2052469840
false,v59-empty-program-students,dang_hoc,,s-0be47342c057
false,v59-empty-program-students,dang_hoc,,s-0c081e27e9eb
false,v59-empty-program-students,dang_hoc,,s-0c2d19e3f228
false,v59-empty-program-students,dang_hoc,,s-0c2da8775dc1
false,v59-empty-program-students,dang_hoc,,s-0c3ac17e1cb9
false,v59-empty-program-students,dang_hoc,,s-0c8a76ca4c56
false,v59-empty-program-students,dang_hoc,,s-0c9b5755e058
false,v59-empty-program-students,dang_hoc,,s-0dfbe4b59811
false,v59-empty-program-students,dang_hoc,,s-0e11bb928811
false,v59-empty-program-students,dang_hoc,,s-0e21585956b4
