last_term_code,n_courses,n_valid_terms,reason_codes,student_ref
2022-2023-T2,8,2,[],s-00518c9485a9
2022-2023-T2,8,2,[],s-0061728bd51d
2022-2023-T2,8,2,[],s-0065c1d21bfd
2022-2023-T2,8,2,[],s-0075b2e0d490
2022-2023-T2,8,2,[],s-00c4a43cf58d
2022-2023-T2,8,2,[],s-019524f8f480
2022-2023-T2,8,2,[],s-0198c1be33d6
2022-2023-T2,8,2,[],s-02592401a1df
2022-2023-T2,8,2,[],s-025953cdfa78
2022-2023-T2,8,2,[],s-0309240c3098
2022-2023-T2,8,2,[],s-03fa735bbdad
2022-2023-T2,8,2,[],s-04b93ad2aa93
2022-2023-T2,8,2,[],s-04eed4d8a224
2022-2023-T2,8,2,[],s-05069e7b7252
2022-2023-T2,8,2,[],s-0520a6eb5e4b
2022-2023-T2,8,2,[],s-055724dde246
2022-2023-T2,8,2,[],s-0611a37ee730
2022-2023-T2,8,2,[],s-06c30f3d81a1
2022-2023-T2,8,2,[],s-0829e3d5a77a
2022-2023-T2,8,2,[],s-083d167caf9d
2022-2023-T2,8,2,[],s-089c5e238092
2022-2023-T2,8,2,[],s-08a36ecf6c76
2022-2023-T2,8,2,[],s-09121a7d1e6b
2022-2023-T2,8,2,[],s-091d6b414e55
2022-2023-T2,8,2,[],s-09373e6fbb2c
2022-2023-T2,8,2,[],s-09b734dfdf59
2022-2023-T2,8,2,[],s-0a16f66e4971
2022-2023-T2,8,2,[],s-0a2474909ee6
2022-2023-T2,8,2,[],s-0a2e8c18532a
2022-2023-T2,8,2,[],s-0a50bede9d8d
2022-2023-T2,8,2,[],s-0ab3418e3509
2022-2023-T2,8,2,[],s-0b2052469840
2022-2023-T2,8,2,[],s-0be47342c057
2022-2023-T2,8,2,[],s-0c081e27e9eb
2022-2023-T2,8,2,[],s-0c2d19e3f228
2022-2023-T2,8,2,[],s-0c2da8775dc1
2022-2023-T2,8,2,[],s-0c3ac17e1cb9
2022-2023-T2,8,2,[],s-0c8a76ca4c56
2022-2023-T2,8,2,[],s-0c9b5755e058
2022-2023-T2,8,2,[],s-0dfbe4b59811
2022-2023-T2,8,2,[],s-0e11bb928811
2022-2023-T2,8,2,[],s-0e21585956b4
2022-2023-T2,8,2,[],s-0e84a610702a
2022-2023-T2,8,2,[],s-0eb022f81b69
2022-2023-T2,8,2,[],s-0f38348ddf68
2022-2023-T2,8,2,[],s-108b441e3850
2022-2023-T2,8,2,[],s-10b60a13227d
2022-2023-T2,8,2,[],s-10d53822204b
2022-2023-T2,8,2,[],s-114a09f3b294
2022-2023-T2,8,2,[],s-11717e79940d
2022-2023-T2,8,2,[],s-128750ad08c5
2022-2023-T2,8,2,[],s-142e5e22eac2
2022-2023-T2,8,2,[],s-145605a1afaf
2022-2023-T2,8,2,[],s-1498dbaec2fc
2022-2023-T2,8,2,[],s-1572e1883e1a
2022-2023-T2,8,2,[],s-15cbc4c6ef73
2022-2023-T2,8,2,[],s-15e762714f16
2022-2023-T2,8,2,[],s-160e3fcded77
