course_ref,credits,final_grade,grade_status,source_id,student_ref,term_code
c-39fd7eb58664,3.0,7.12,[B - ],v59-empty-program-students,s-00518c9485a9,2022-2023-T1
c-498517f00ab9,3.0,6.86,[C+ - ],v59-empty-program-students,s-00518c9485a9,2022-2023-T1
c-5085c9b6437b,3.0,7.52,[B - ],v59-empty-program-students,s-00518c9485a9,2022-2023-T1
c-9caefed7d0d9,3.0,6.67,[C+ - ],v59-empty-program-students,s-00518c9485a9,2022-2023-T1
c-3bd112cb9758,3.0,4.88,Không đạt,v59-empty-program-students,s-00518c9485a9,2022-2023-T2
c-c0f0ad70b047,3.0,6.29,[C - ],v59-empty-program-students,s-00518c9485a9,2022-2023-T2
c-c2c16b3d1592,2.0,6.52,[C+ - ],v59-empty-program-students,s-00518c9485a9,2022-2023-T2
c-ce7637d9262f,3.0,5.63,[C - ],v59-empty-program-students,s-00518c9485a9,2022-2023-T2
c-2d13cced1086,3.0,5.07,[D+ - ],v59-empty-program-students,s-0061728bd51d,2022-2023-T1
c-6ab00b29054a,3.0,5.72,[C - ],v59-empty-program-students,s-0061728bd51d,2022-2023-T1
c-a50f66fd4959,3.0,6.05,[C - ],v59-empty-program-students,s-0061728bd51d,2022-2023-T1
c-ebe3c554251f,3.0,6.38,[C - ],v59-empty-program-students,s-0061728bd51d,2022-2023-T1
c-1476dc458d62,3.0,6.39,[C - ],v59-empty-program-students,s-0061728bd51d,2022-2023-T2
c-4fa0c8bf9948,2.0,6.19,[C - ],v59-empty-program-students,s-0061728bd51d,2022-2023-T2
c-62185e7ec658,2.0,5.65,[C - ],v59-empty-program-students,s-0061728bd51d,2022-2023-T2
c-81b4ef90f713,3.0,4.92,Không đạt,v59-empty-program-students,s-0061728bd51d,2022-2023-T2
c-35a96e146229,2.0,6.5,[C - ],v59-empty-program-students,s-0065c1d21bfd,2022-2023-T1
c-54bd06360a44,3.0,5.67,[C - ],v59-empty-program-students,s-0065c1d21bfd,2022-2023-T1
c-9366a3687be8,3.0,7.24,[B - ],v59-empty-program-students,s-0065c1d21bfd,2022-2023-T1
c-b33556760fbd,3.0,8.73,[A - ],v59-empty-program-students,s-0065c1d21bfd,2022-2023-T1
c-57abe93e292e,3.0,4.68,Không đạt,v59-empty-program-students,s-0065c1d21bfd,2022-2023-T2
c-5879f564e12f,2.0,7.52,[B - ],v59-empty-program-students,s-0065c1d21bfd,2022-2023-T2
c-896bd8686d94,3.0,7.35,[B - ],v59-empty-program-students,s-0065c1d21bfd,2022-2023-T2
c-9fa63ef47a6b,3.0,6.37,[C - ],v59-empty-program-students,s-0065c1d21bfd,2022-2023-T2
c-8ee7a259d530,3.0,6.99,[C+ - ],v59-empty-program-students,s-0075b2e0d490,2022-2023-T1
c-998fafd9c287,3.0,5.64,[C - ],v59-empty-program-students,s-0075b2e0d490,2022-2023-T1
c-affbd0abccbf,2.0,7.74,[B - ],v59-empty-program-students,s-0075b2e0d490,2022-2023-T1
c-ee1b2dd8e6eb,2.0,6.71,[C+ - ],v59-empty-program-students,s-0075b2e0d490,2022-2023-T1
c-3baaa08828d9,2.0,6.31,[C - ],v59-empty-program-students,s-0075b2e0d490,2022-2023-T2
c-5771c4c309f6,3.0,5.88,[C - ],v59-empty-program-students,s-0075b2e0d490,2022-2023-T2
c-8f60ec14d5e6,3.0,7.59,[B - ],v59-empty-program-students,s-0075b2e0d490,2022-2023-T2
c-a4656e2e45e1,3.0,6.92,[C+ - ],v59-empty-program-students,s-0075b2e0d490,2022-2023-T2
