student_id,week,attendance_rate
SYN0001,1,0.88
SYN0001,2,0.812
SYN0001,3,0.816
SYN0001,4,0.797
SYN0001,5,0.806
SYN0001,6,0.795
SYN0001,7,0.81
SYN0001,8,0.845
SYN0001,9,0.893
SYN0001,10,0.863
SYN0001,11,0.832
SYN0001,12,0.834
SYN0002,1,0.866
SYN0002,2,0.943
SYN0002,3,0.921
SYN0002,4,0.87
SYN0002,5,0.866
SYN0002,6,0.868
SYN0002,7,0.955
SYN0002,8,0.87
SYN0002,9,0.922
SYN0002,10,0.956
SYN0002,11,0.863
SYN0002,12,0.898
SYN0003,1,0.829
SYN0003,2,0.836
SYN0003,3,0.835
SYN0003,4,0.815
SYN0003,5,0.877
SYN0003,6,0.891
SYN0003,7,0.853
SYN0003,8,0.814
SYN0003,9,0.881
SYN0003,10,0.883
SYN0003,11,0.875
SYN0003,12,0.843
SYN0004,1,0.95
SYN0004,2,0.945
SYN0004,3,0.914
SYN0004,4,0.937
SYN0004,5,0.97
SYN0004,6,0.959
SYN0004,7,0.926
SYN0004,8,0.973
SYN0004,9,0.975
SYN0004,10,0.895
SYN0004,11,0.907
SYN0004,12,0.913
SYN0005,1,0.768
SYN0005,2,0.758
SYN0005,3,0.803
SYN0005,4,0.739
SYN0005,5,0.723
SYN0005,6,0.715
SYN0005,7,0.737
SYN0005,8,0.787
SYN0005,9,0.764
SYN0005,10,0.709
SYN0005,11,0.747
SYN0005,12,0.708
SYN0006,1,0.9
SYN0006,2,0.913
SYN0006,3,0.884
SYN0006,4,0.844
SYN0006,5,0.872
SYN0006,6,0.827
SYN0006,7,0.794
SYN0006,8,0.813
SYN0006,9,0.848
SYN0006,10,0.834
SYN0006,11,0.784
SYN0006,12,0.841
SYN0007,1,0.987
SYN0007,2,0.917
SYN0007,3,0.898
SYN0007,4,0.942
SYN0007,5,0.978
SYN0007,6,0.951
SYN0007,7,0.946
SYN0007,8,0.94
SYN0007,9,0.919
SYN0007,10,0.921
SYN0007,11,0.931
SYN0007,12,0.946
SYN0008,1,1.0
SYN0008,2,0.962
SYN0008,3,0.894
SYN0008,4,0.921
SYN0008,5,0.932
SYN0008,6,0.948
SYN0008,7,0.855
SYN0008,8,0.926
SYN0008,9,0.903
SYN0008,10,0.844
SYN0008,11,0.859
SYN0008,12,0.878
SYN0009,1,0.812
SYN0009,2,0.763
SYN0009,3,0.783
SYN0009,4,0.797
SYN0009,5,0.77
SYN0009,6,0.85
SYN0009,7,0.781
SYN0009,8,0.779
SYN0009,9,0.816
SYN0009,10,0.809
SYN0009,11,0.788
SYN0009,12,0.788
SYN0010,1,0.822
SYN0010,2,0.905
SYN0010,3,0.908
SYN0010,4,0.883
SYN0010,5,0.894
SYN0010,6,0.852
SYN0010,7,0.91
SYN0010,8,0.888
SYN0010,9,0.883
SYN0010,10,0.859
SYN0010,11,0.836
SYN0010,12,0.883
SYN0011,1,0.91
SYN0011,2,0.866
SYN0011,3,0.845
SYN0011,4,0.838
SYN0011,5,0.809
SYN0011,6,0.807
SYN0011,7,0.821
SYN0011,8,0.82
SYN0011,9,0.821
SYN0011,10,0.776
SYN0011,11,0.745
SYN0011,12,0.812
SYN0012,1,0.914
SYN0012,2,0.878
SYN0012,3,0.905
SYN0012,4,0.877
SYN0012,5,0.911
SYN0012,6,0.927
SYN0012,7,0.847
SYN0012,8,0.925
SYN0012,9,0.857
SYN0012,10,0.847
SYN0012,11,0.853
SYN0012,12,0.902
SYN0013,1,0.913
SYN0013,2,0.94
SYN0013,3,0.991
SYN0013,4,0.986
SYN0013,5,0.98
SYN0013,6,0.922
SYN0013,7,0.925
SYN0013,8,0.912
SYN0013,9,0.924
SYN0013,10,0.938
SYN0013,11,0.977
SYN0013,12,0.963
SYN0014,1,0.811
SYN0014,2,0.751
SYN0014,3,0.764
SYN0014,4,0.736
SYN0014,5,0.737
SYN0014,6,0.681
SYN0014,7,0.651
SYN0014,8,0.641
SYN0014,9,0.658
SYN0014,10,0.587
SYN0014,11,0.561
SYN0014,12,0.607
SYN0015,1,0.828
SYN0015,2,0.815
SYN0015,3,0.833
SYN0015,4,0.853
SYN0015,5,0.814
SYN0015,6,0.838
SYN0015,7,0.905
SYN0015,8,0.854
SYN0015,9,0.811
SYN0015,10,0.891
SYN0015,11,0.841
SYN0015,12,0.828
SYN0016,1,0.879
SYN0016,2,0.918
SYN0016,3,0.934
SYN0016,4,0.881
SYN0016,5,0.896
SYN0016,6,0.847
SYN0016,7,0.906
SYN0016,8,0.876
SYN0016,9,0.912
SYN0016,10,0.923
SYN0016,11,0.881
SYN0016,12,0.913
SYN0017,1,0.933
SYN0017,2,0.947
SYN0017,3,0.828
SYN0017,4,0.828
SYN0017,5,0.774
SYN0017,6,0.751
SYN0017,7,0.783
SYN0017,8,0.715
SYN0017,9,0.665
SYN0017,10,0.694
SYN0017,11,0.571
SYN0017,12,0.536
SYN0018,1,0.96
SYN0018,2,0.926
SYN0018,3,0.971
SYN0018,4,0.91
SYN0018,5,0.9
SYN0018,6,0.965
SYN0018,7,0.93
SYN0018,8,0.88
SYN0018,9,0.878
SYN0018,10,0.878
SYN0018,11,0.95
SYN0018,12,0.94
SYN0019,1,0.804
SYN0019,2,0.789
SYN0019,3,0.784
SYN0019,4,0.769
SYN0019,5,0.795
SYN0019,6,0.765
SYN0019,7,0.819
SYN0019,8,0.785
SYN0019,9,0.793
SYN0019,10,0.819
SYN0019,11,0.824
SYN0019,12,0.779
SYN0020,1,0.818
SYN0020,2,0.747
SYN0020,3,0.751
SYN0020,4,0.753
SYN0020,5,0.749
SYN0020,6,0.807
SYN0020,7,0.779
SYN0020,8,0.734
SYN0020,9,0.777
SYN0020,10,0.796
SYN0020,11,0.729
SYN0020,12,0.746
SYN0021,1,0.743
SYN0021,2,0.705
SYN0021,3,0.728
SYN0021,4,0.722
SYN0021,5,0.76
SYN0021,6,0.746
SYN0021,7,0.745
SYN0021,8,0.736
SYN0021,9,0.707
SYN0021,10,0.736
SYN0021,11,0.767
SYN0021,12,0.757
SYN0022,1,0.91
SYN0022,2,0.903
SYN0022,3,0.896
SYN0022,4,0.925
SYN0022,5,0.857
SYN0022,6,0.898
SYN0022,7,0.852
SYN0022,8,0.882
SYN0022,9,0.911
SYN0022,10,0.864
SYN0022,11,0.878
SYN0022,12,0.914
SYN0023,1,0.842
SYN0023,2,0.769
SYN0023,3,0.726
SYN0023,4,0.662
SYN0023,5,0.63
SYN0023,6,0.682
SYN0023,7,0.601
SYN0023,8,0.585
SYN0023,9,0.493
SYN0023,10,0.515
SYN0023,11,0.463
SYN0023,12,0.442
SYN0024,1,0.868
SYN0024,2,0.826
SYN0024,3,0.902
SYN0024,4,0.842
SYN0024,5,0.904
SYN0024,6,0.867
SYN0024,7,0.852
SYN0024,8,0.864
SYN0024,9,0.849
SYN0024,10,0.819
SYN0024,11,0.816
SYN0024,12,0.82
SYN0025,1,0.91
SYN0025,2,0.948
SYN0025,3,0.971
SYN0025,4,0.971
SYN0025,5,0.999
SYN0025,6,0.943
SYN0025,7,1.0
SYN0025,8,0.909
SYN0025,9,0.924
SYN0025,10,0.957
SYN0025,11,0.972
SYN0025,12,0.949
SYN0026,1,0.88
SYN0026,2,0.919
SYN0026,3,0.945
SYN0026,4,0.906
SYN0026,5,0.899
SYN0026,6,0.945
SYN0026,7,0.926
SYN0026,8,0.979
SYN0026,9,0.976
SYN0026,10,0.911
SYN0026,11,0.884
SYN0026,12,0.898
SYN0027,1,0.843
SYN0027,2,0.808
SYN0027,3,0.829
SYN0027,4,0.841
SYN0027,5,0.875
SYN0027,6,0.811
SYN0027,7,0.863
SYN0027,8,0.837
SYN0027,9,0.877
SYN0027,10,0.868
SYN0027,11,0.819
SYN0027,12,0.87
SYN0028,1,0.787
SYN0028,2,0.816
SYN0028,3,0.837
SYN0028,4,0.814
SYN0028,5,0.824
SYN0028,6,0.843
SYN0028,7,0.809
SYN0028,8,0.871
SYN0028,9,0.813
SYN0028,10,0.854
SYN0028,11,0.881
SYN0028,12,0.795
SYN0029,1,0.895
SYN0029,2,0.958
SYN0029,3,0.878
SYN0029,4,0.881
SYN0029,5,0.908
SYN0029,6,0.807
SYN0029,7,0.783
SYN0029,8,0.826
SYN0029,9,0.743
SYN0029,10,0.733
SYN0029,11,0.728
SYN0029,12,0.685
SYN0030,1,0.793
SYN0030,2,0.708
SYN0030,3,0.742
SYN0030,4,0.654
SYN0030,5,0.681
SYN0030,6,0.559
SYN0030,7,0.53
SYN0030,8,0.518
SYN0030,9,0.526
SYN0030,10,0.5
SYN0030,11,0.466
SYN0030,12,0.352
SYN0031,1,0.867
SYN0031,2,0.88
SYN0031,3,0.794
SYN0031,4,0.789
SYN0031,5,0.826
SYN0031,6,0.87
SYN0031,7,0.854
SYN0031,8,0.827
SYN0031,9,0.854
SYN0031,10,0.83
SYN0031,11,0.869
SYN0031,12,0.814
SYN0032,1,0.881
SYN0032,2,0.86
SYN0032,3,0.829
SYN0032,4,0.782
SYN0032,5,0.765
SYN0032,6,0.799
SYN0032,7,0.775
SYN0032,8,0.75
SYN0032,9,0.704
SYN0032,10,0.696
SYN0032,11,0.693
SYN0032,12,0.689
SYN0033,1,0.871
SYN0033,2,0.874
SYN0033,3,0.857
SYN0033,4,0.813
SYN0033,5,0.871
SYN0033,6,0.846
SYN0033,7,0.864
SYN0033,8,0.864
SYN0033,9,0.811
SYN0033,10,0.797
SYN0033,11,0.868
SYN0033,12,0.857
SYN0034,1,0.752
SYN0034,2,0.682
SYN0034,3,0.723
SYN0034,4,0.671
SYN0034,5,0.684
SYN0034,6,0.63
SYN0034,7,0.609
SYN0034,8,0.583
SYN0034,9,0.62
SYN0034,10,0.597
SYN0034,11,0.525
SYN0034,12,0.512
SYN0035,1,0.985
SYN0035,2,0.99
SYN0035,3,0.973
SYN0035,4,0.906
SYN0035,5,0.903
SYN0035,6,0.975
SYN0035,7,0.934
SYN0035,8,0.896
SYN0035,9,0.903
SYN0035,10,0.921
SYN0035,11,0.917
SYN0035,12,0.896
SYN0036,1,0.923
SYN0036,2,0.917
SYN0036,3,0.909
SYN0036,4,0.843
SYN0036,5,0.824
SYN0036,6,0.858
SYN0036,7,0.865
SYN0036,8,0.847
SYN0036,9,0.835
SYN0036,10,0.791
SYN0036,11,0.81
SYN0036,12,0.818
SYN0037,1,0.812
SYN0037,2,0.777
SYN0037,3,0.772
SYN0037,4,0.747
SYN0037,5,0.774
SYN0037,6,0.717
SYN0037,7,0.654
SYN0037,8,0.635
SYN0037,9,0.586
SYN0037,10,0.601
SYN0037,11,0.54
SYN0037,12,0.482
SYN0038,1,0.956
SYN0038,2,1.0
SYN0038,3,0.921
SYN0038,4,1.0
SYN0038,5,0.96
SYN0038,6,0.964
SYN0038,7,1.0
SYN0038,8,0.957
SYN0038,9,0.959
SYN0038,10,0.939
SYN0038,11,0.983
SYN0038,12,0.987
SYN0039,1,0.869
SYN0039,2,0.796
SYN0039,3,0.77
SYN0039,4,0.727
SYN0039,5,0.694
SYN0039,6,0.696
SYN0039,7,0.685
SYN0039,8,0.645
SYN0039,9,0.637
SYN0039,10,0.604
SYN0039,11,0.533
SYN0039,12,0.521
SYN0040,1,0.994
SYN0040,2,0.966
SYN0040,3,0.985
SYN0040,4,0.991
SYN0040,5,1.0
SYN0040,6,0.961
SYN0040,7,0.918
SYN0040,8,0.916
SYN0040,9,0.981
SYN0040,10,0.971
SYN0040,11,0.994
SYN0040,12,0.927
