student_id,week,score
SYN0001,1,5.56
SYN0001,2,5.71
SYN0001,3,5.79
SYN0001,4,5.49
SYN0001,5,5.51
SYN0001,6,5.1
SYN0001,7,5.41
SYN0001,8,5.34
SYN0001,9,5.71
SYN0001,10,5.44
SYN0001,11,5.58
SYN0001,12,5.31
SYN0002,1,5.95
SYN0002,2,5.74
SYN0002,3,6.1
SYN0002,4,6.1
SYN0002,5,6.34
SYN0002,6,6.22
SYN0002,7,6.17
SYN0002,8,6.24
SYN0002,9,6.1
SYN0002,10,5.86
SYN0002,11,5.89
SYN0002,12,6.61
SYN0003,1,8.06
SYN0003,2,7.75
SYN0003,3,8.37
SYN0003,4,8.18
SYN0003,5,8.48
SYN0003,6,8.3
SYN0003,7,7.86
SYN0003,8,8.3
SYN0003,9,8.46
SYN0003,10,8.57
SYN0003,11,8.14
SYN0003,12,8.32
SYN0004,1,7.85
SYN0004,2,7.28
SYN0004,3,7.74
SYN0004,4,7.58
SYN0004,5,7.45
SYN0004,6,7.81
SYN0004,7,8.12
SYN0004,8,7.8
SYN0004,9,7.47
SYN0004,10,7.8
SYN0004,11,8.04
SYN0004,12,8.2
SYN0005,1,7.77
SYN0005,2,7.4
SYN0005,3,7.48
SYN0005,4,7.49
SYN0005,5,7.99
SYN0005,6,7.63
SYN0005,7,8.19
SYN0005,8,7.68
SYN0005,9,8.06
SYN0005,10,8.03
SYN0005,11,7.75
SYN0005,12,7.77
SYN0006,1,8.38
SYN0006,2,8.56
SYN0006,3,8.47
SYN0006,4,8.43
SYN0006,5,7.97
SYN0006,6,8.25
SYN0006,7,8.05
SYN0006,8,8.38
SYN0006,9,8.17
SYN0006,10,8.26
SYN0006,11,8.25
SYN0006,12,7.85
SYN0007,1,7.88
SYN0007,2,7.34
SYN0007,3,7.46
SYN0007,4,7.26
SYN0007,5,6.9
SYN0007,6,7.05
SYN0007,7,7.21
SYN0007,8,6.63
SYN0007,9,6.54
SYN0007,10,6.3
SYN0007,11,6.18
SYN0007,12,6.59
SYN0008,1,8.0
SYN0008,2,7.42
SYN0008,3,7.4
SYN0008,4,7.43
SYN0008,5,7.58
SYN0008,6,8.07
SYN0008,7,7.47
SYN0008,8,7.67
SYN0008,9,7.36
SYN0008,10,7.34
SYN0008,11,7.77
SYN0008,12,7.83
SYN0009,1,7.42
SYN0009,2,7.14
SYN0009,3,6.91
SYN0009,4,6.82
SYN0009,5,7.35
SYN0009,6,6.89
SYN0009,7,6.79
SYN0009,8,7.37
SYN0009,9,6.93
SYN0009,10,7.35
SYN0009,11,7.03
SYN0009,12,7.23
SYN0010,1,5.34
SYN0010,2,5.23
SYN0010,3,5.57
SYN0010,4,5.66
SYN0010,5,5.25
SYN0010,6,5.12
SYN0010,7,5.29
SYN0010,8,5.62
SYN0010,9,5.27
SYN0010,10,5.56
SYN0010,11,5.09
SYN0010,12,5.58
SYN0011,1,5.92
SYN0011,2,6.07
SYN0011,3,5.8
SYN0011,4,6.12
SYN0011,5,5.83
SYN0011,6,5.99
SYN0011,7,5.98
SYN0011,8,6.37
SYN0011,9,6.25
SYN0011,10,6.1
SYN0011,11,6.35
SYN0011,12,6.18
SYN0012,1,7.45
SYN0012,2,8.02
SYN0012,3,7.8
SYN0012,4,7.95
SYN0012,5,7.78
SYN0012,6,7.32
SYN0012,7,7.39
SYN0012,8,8.01
SYN0012,9,7.87
SYN0012,10,8.04
SYN0012,11,8.04
SYN0012,12,7.51
SYN0013,1,8.48
SYN0013,2,8.29
SYN0013,3,8.49
SYN0013,4,8.48
SYN0013,5,8.36
SYN0013,6,8.41
SYN0013,7,8.51
SYN0013,8,8.38
SYN0013,9,8.29
SYN0013,10,8.84
SYN0013,11,8.49
SYN0013,12,8.51
SYN0014,1,7.69
SYN0014,2,8.08
SYN0014,3,7.63
SYN0014,4,7.81
SYN0014,5,7.73
SYN0014,6,8.23
SYN0014,7,7.62
SYN0014,8,7.9
SYN0014,9,7.84
SYN0014,10,7.46
