student_id,class_id,synth_socioeconomic_group,synth_ethnicity_group
SYN0001,10A1,A,Thai
SYN0002,10A2,A,Tay
SYN0003,10A1,C,Hmong
SYN0004,10A1,C,Khmer
SYN0005,10A1,A,Kinh
SYN0006,10A2,A,Hmong
SYN0007,10A1,C,Tay
SYN0008,12C1,A,Khmer
SYN0009,11B1,A,Tay
SYN0010,12C1,B,Thai
SYN0011,10A2,A,Thai
SYN0012,10A1,A,Khmer
SYN0013,10A1,B,Thai
SYN0014,11B1,A,Khmer
SYN0015,10A1,B,Kinh
SYN0016,11B1,C,Hmong
SYN0017,11B1,C,Tay
SYN0018,10A1,A,Tay
SYN0019,11B1,A,Tay
SYN0020,10A1,B,Thai
SYN0021,12C1,C,Thai
SYN0022,10A2,B,Thai
SYN0023,10A2,C,Thai
SYN0024,10A1,C,Tay
SYN0025,10A2,A,Khmer
SYN0026,12C1,B,Hmong
SYN0027,10A2,C,Thai
SYN0028,10A1,A,Kinh
SYN0029,11B1,B,Thai
SYN0030,10A1,A,Hmong
SYN0031,11B1,A,Khmer
SYN0032,12C1,C,Khmer
SYN0033,10A2,B,Tay
SYN0034,10A2,C,Hmong
SYN0035,11B1,C,Hmong
SYN0036,12C1,C,Khmer
SYN0037,11B1,A,Tay
SYN0038,12C1,A,Kinh
SYN0039,10A1,A,Tay
SYN0040,12C1,C,Kinh
